Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,-,Shot,0,9,46,19,-,-
Home,-,Shot,0,27,57,20,-,-
Home,-,Shot,0,39,60,34,-,-
Home,-,Shot,0,50,65,32,-,-
Home,-,Shot,1,6,79,48,-,-
Home,-,Shot,1,18,88,60,-,-
Home,-,Shot,1,24,48,60,-,-
Home,-,Shot,1,38,75,48,-,-
Home,-,Shot,1,49,88,36,-,-
Home,-,Shot,2,10,87,62,-,-
Home,-,Shot,2,29,88,56,-,-
Home,-,Shot,2,43,92,62,-,-
Home,-,Shot,2,54,92,44,-,-
Home,-,Shot,3,6,92,37,-,-
Home,-,Shot,3,13,59,18,-,-
Home,-,Shot,3,22,59,23,-,-
Home,-,Shot,3,36,88,34,-,-
Home,-,Shot,3,43,60,19,-,-
Home,-,Shot,3,54,91,37,-,-