Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,H10,touch,0,12,75,17,-,-
Home,H10,Dribble,0,13,81,18,-,-
Home,H10,Dribble,0,16,88,37,-,-
Home,H10,Dribble,0,17,89,41,-,-
Home,H10,Shot,0,18,91,41,-,-
Home,H10,Run,0,27,73,18,-,-
Home,H10,touch,0,29,85,17,-,-
Home,H10,Shot,0,31,91,35,-,-
Home,H10,Run,0,37,60,9,-,-
Home,H10,touch,0,41,79,28,-,-
Home,H10,Shot,0,42,87,37,-,-
Home,H10,Run,0,50,68,19,-,-
Home,H10,touch,0,54,79,55,-,-
Home,H10,Shot,0,55,86,65,-,-
Home,H10,Shot,1,6,83,43,-,-
Home,H10,touch,1,15,79,56,-,-
Home,H10,Dribble,1,17,83,62,-,-
Home,H10,Shot,1,17,87,59,-,-
Home,H10,Run,1,25,54,68,-,-
Home,H10,touch,1,30,75,38,-,-
Home,H10,touch,1,29,82,37,-,-
Home,H10,Shot,1,29,87,38,-,-
Home,H10,touch,1,36,76,50,-,-
Home,H10,Dribble,1,37,79,50,-,-
Home,H10,Shot,1,40,86,54,-,-
Home,H10,Shot,1,49,87,39,-,-
Home,H10,Shot,2,10,86,64,-,-
Home,H10,touch,2,19,76,54,-,-
Home,H10,Shot,2,20,87,56,-,-
Home,H10,Run,2,29,85,49,-,-
Home,H10,Shot,2,30,87,38,-,-
Home,H10,touch,2,37,90,69,-,-
Home,H10,Dribble,2,40,89,68,-,-
Home,H10,Shot,2,44,88,61,-,-
Home,H10,Shot,2,54,89,43,-,-
Home,H10,Dribble,2,59,76,9,-,-
Home,H10,Dribble,3,1,88,15,-,-
Home,H10,Dribble,3,5,91,26,-,-
Home,H10,Dribble,3,6,89,32,-,-
Home,H10,Shot,3,6,90,33,-,-
Home,H10,Run,3,12,57,9,-,-
Home,H10,touch,3,15,76,24,-,-
Home,H10,Shot,3,18,88,31,-,-
Home,H10,Run,3,22,60,24,-,-
Home,H10,touch,3,25,77,29,-,-
Home,H10,Shot,3,26,87,36,-,-
Home,H10,Run,3,33,67,22,-,-
Home,H10,Shot,3,36,90,33,-,-
Home,H10,Run,3,43,62,24,-,-
Home,H10,touch,3,45,82,45,-,-
Home,H10,Shot,3,47,86,43,-,-
Home,H10,Run,0,4,60,50,-,-
Home,H10,touch,0,7,83,42,-,-
Home,H10,Shot,0,9,87,38,-,-